sector,employment_status,wage
Informal,Employer,1988.1323
Formal,Employer,4041.23
Informal,Salaried employees,1405.7208
Formal,Salaried employees,3102.0652
Informal,Salaried labourers,1233.16
Formal,Salaried labourers,2128.7476
Informal,Household workers,1154.7576
Formal,Household workers,1743.5414
Informal,Self-employed,901.9327
Formal,Self-employed,1940.162
