labor_income_decile,informality,formalization_cost
1,98.08,174.736848630621
2,95.81,61.5982379899143
3,94.16,36.844984409098
4,93.27,25.8427723438558
5,76.89,22
6,71.53,22
7,67.27,22
8,57.3,22
9,38.11,22
10,21.94,22
